stream_uid,delivery_stream,type,timestamp,context_data,context_data_type,date_created,status,assistant_id,record_id
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1017,118096670464541,"{""connectionEstablishmentResolution"":[],""connectionEstablishmentProxyConfiguration"":{""proxyConfigured"":0,""usingConfiguredProxy"":0},""connectionEstablishmentDuration"":1,""connectionInfo"":""[C85 connected fe80::fae0:543c:dabe:3cb7%utun0.26295 tcp, local: fe80::714a:5d31:d1cf:44db%utun0.1025, definite, attribution: developer, prohibit joining, path satisfied (Path is satisfied), viable, interface: utun0, scoped, ipv6]"",""connectionEstablishmentPreviousAttemptCount"":0,""connectionEstablishmentAttemptDelay"":0,""connectionEstablishmentProtocols"":[{""handShakeRTT"":0,""protocol"":""tcp"",""handShakeDuration"":0}]}",2,1633051027.00735,1,unknown,30245DC2-A26D-49E3-B0A2-8D95563D66FB
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,6101,118490823897875,"{""error"":{""code"":4005,""domain"":""kAFAssistantErrorDomain""}}",2,1633051422.16764,1,unknown,8D5570E1-680E-4166-B587-FE341091299A
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,6101,119096426809541,"{""error"":{""code"":4005,""domain"":""kAFAssistantErrorDomain""}}",2,1633052027.77771,1,unknown,4D9DAB95-07B6-46ED-9699-F8627B8FDEA9
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,6101,119701926639458,"{""error"":{""code"":4005,""domain"":""kAFAssistantErrorDomain""}}",2,1633052633.34331,1,unknown,3469A63D-8682-48F6-B39B-694EA9B6AAE5
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120029240297500,,0,1633052960.78488,1,unknown,87AE91C5-D84F-40CB-9901-10445EF2BA7F
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120029193434000,,0,1633052960.78491,1,unknown,77AC6DA7-613B-4D52-8EE5-92A44E311321
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120029193463041,,0,1633052960.78491,1,unknown,A4AA60F1-5E1B-4B2C-B1E2-A3E99DDAC8E2
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120029193465166,,0,1633052960.78492,1,unknown,49E74ED8-43DA-4A6C-90F2-40308A1D14E0
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120029240293875,,0,1633052960.78492,1,unknown,FB71654B-8345-42E6-8EC1-7F8E6CA202BF
F3842A49-1A87-45FD-BE7D-72CBF8FBC994,0,1435,120029240299208,,0,1633052960.78492,1,unknown,AF039F53-28AE-4234-9716-6468759E5050
